,"We are starting with our Live Batches from 15th September, 2025",,,
,Link to live session - Python DSA (3 months),,,
,,,,
,Youtube DSA Course,,,
 ,"This roadmap will be frequently updated, so make sure to keep checking it. View the sheet2 for advance DSA topics.",,,
,"To duplicate the roadmap, simply navigate to Google Sheets and select ""File"" > ""Make a Copy"" from the menu.",,,
,COMPLETED: 0/268 (0.00%),,Youtube Link,Articles
,1. Basics of programming,,,
,Problem Statement,Leetcode / GFG Link,,
,1.1 Time and Space Complexity,,,
Pending,Learn about Time and Space Complexity,Theory [Watch the Video],https://youtu.be/bLm0wgPU-6A,Time Complexity and Space Complexity in DSA | Explained with Examples - Code and Debug - Blog
Pending,What is TLE Error?,Theory [Watch the Video],https://youtu.be/YvvAnuOzOSY,-
Pending,Time Complexity of Common Python Operations,Theory [Watch the Video],https://youtu.be/PLV0f4RAMvI,-
,,,,
,1.2 Basic Maths Logic Buildup,,,
Pending,Extraction of Digits,Theory [Watch the Video],https://youtu.be/yCMCdSZdIbY,Extraction of Digits in Python | Explained Step-by-Step
Pending,Count Digits,Number of Digits - Naukri Code 360,https://youtu.be/ww-mxKUIltM,Python Program to Count Number of Digits | Explained
Pending,Reverse a number,Reverse Integer - LeetCode,,Leetcode #7 : Reverse Integer Python Program Explained
Pending,Check palindrome,Palindrome Number - LeetCode,https://youtu.be/ecZVpAZ37UI,Palindrome Number Program in Python | Leetcode #9
Pending,Armstrong Number,Armstrong Number - LeetCode,https://youtu.be/rzRwIe8UwQQ,Python Program to Check Armstrong Number | Explained
Pending,Print all Divisors of a number,Number of factors | Practice | GeeksforGeeks,https://youtu.be/YoVlGYyWgyw,Python Program to Print Divisors/Factors of an Integer
Pending,Check Prime,Prime Number | Practice | GeeksforGeeks,(Do on your own),Check if a Number is Prime or Not | GFG
,,,,
,,,,
,1.3 Recursion Basics,,,
Pending,Introduction to Recursion,Theory [Watch the Video],https://youtu.be/-VwidRe3Ob8,-
Pending,Recursion using Parameters,Theory [Watch the Video],https://youtu.be/fgurDxhawRw,-
Pending,Functional Recursion,Theory [Watch the Video],https://youtu.be/UgksZgjPrD4,-
Pending,Print 1 to N without Loop,Print 1 To N Without Loop | Practice | GeeksforGeeks,,Python Program to Print from 1 to N Without Loops
Pending,Print N times with Recursion,Print GFG n times | Practice | GeeksforGeeks,,Print N times with Recursion | GFG
Pending,Print N to 1 without Loop,Print N to 1 without loop | Practice | GeeksforGeeks,,Print N to 1 without loop | Normal Recursion and Backtracking
Pending,Sum of first N natural numbers without Loop,Sum of first n terms | Practice | GeeksforGeeks,,Sum of first n terms | Using Recursion | Explained
Pending,Factorial of N numbers,Factorial | Practice | GeeksforGeeks,https://youtu.be/HKltpsIOOro,Python Program to Find Factorial of Number Using Recursion
Pending,Reverse an Array without Loop,Reverse sub array | Practice | GeeksforGeeks,https://youtu.be/RynoW0e9I7U,Python Program to Reverse Array Using Recursion and While Loop
Pending,Check if String is palindrome,Palindrome String | Practice | GeeksforGeeks,https://youtu.be/uWYF8nL5E1A,Palindrome String | Recursive & Iterative Python Solutions
Pending,Fibonacci Series,Fibonacci Number - LeetCode,https://youtu.be/33UUd-rkN9M,Fibonacci Number | Recursive Python Solution
,,,,
,1.4 Hashing,,,
Pending,[Pre Requirement] How to store frequency,Theory [Watch the Video],https://youtu.be/Ocd_uHpsQyg,
Pending,Learn basics of hashing,Theory [Watch the Video],https://youtu.be/0IE5T63qEHg,
Pending,Find the Frequency,Find the Frequency | Practice | GeeksforGeeks,(Do on your own),-
Pending,Count Frequency in a range,Frequencies of Limited Range Array Elements | Practice | GeeksforGeeks,(Do on your own),-
,,,,
,,,,
,2. Different types of Sorting,,,
Pending,Selection Sort,Selection Sort | Practice | GeeksforGeeks,https://youtu.be/X8pZMsEIvJk,Python Program for Selection Sort Algorithm
Pending,Bubble Sort,Bubble Sort | Practice | GeeksforGeeks,https://youtu.be/M6Vg8SmGMA8,Bubble Sort Algorithm in Python | Explained in Depth
Pending,Insertion Sort,Insertion Sort | Practice | GeeksforGeeks,https://youtu.be/-CI6Lhv1fOw,Insertion Sort Algorithm | Explained in Python
Pending,Merge Sort,Merge Sort | Practice | GeeksforGeeks,https://youtu.be/ZDCoxXeksWM,Merge Sort Algorithm in Python | Explained
Pending,Quick Sort,Quick Sort | Practice | GeeksforGeeks,https://youtu.be/77tOJ3kVeS0,Quick Sort Algorithm in Python | Explained
Pending,Recursive Bubble Sort,Bubble Sort | Practice | GeeksforGeeks,(Do on your own),Recursive Bubble Sort in Python
Pending,Recursive Insertion Sort,Insertion Sort | Practice | GeeksforGeeks,(Do on your own),Recursive Insertion Sort in Python
,,,,
,,,,
,,,,
,3. Problems on Arrays,,,
,3.1 EASY,,,
Pending,Largest Element in an Array,Largest Element in Array | Practice | GeeksforGeeks,https://youtu.be/H52p90uVUGA,Find the Largest Element in an Array (Brute Force & Optimal Solutions) | Step-by-Step with Images
Pending,Second Largest Element in an Array without sorting,Second Largest Number - Naukri Code 360,https://youtu.be/Z6TwNJJ9OoQ,Find the second largest and second smallest element in an Array | Explained
Pending,Check if the array is sorted,Check if array is sorted | Practice | GeeksforGeeks,https://youtu.be/_T4Tr2Y6yd4,Check if array is sorted | Explained using Python Code
Pending,Remove duplicates from Sorted array,Remove Duplicates from Sorted Array - LeetCode,https://youtu.be/a2gP9uYrpQo,Remove duplicates from Sorted array – Leetcode 26
Pending,Right Rotate an array by one place,Theory [Watch the Video],https://youtu.be/_EHlC6xhhE0,-
Pending,Right rotate an array by K places,Rotate Array - LeetCode,https://youtu.be/HRzQK5TkrZM,Right Rotate an Array by K places | Explained with Examples
Pending,Move Zeros to end,Move Zeroes - LeetCode,https://youtu.be/GtssSuFh_Ek,Move Zeroes | Leetcode 283 | Explained
Pending,Linear Search,Array Search | Practice | GeeksforGeeks,https://youtu.be/mjjj1UK0Z1E,Linear Search | Explained in Python
Pending,Merge 2 sorted Arrays,Union of Two Sorted Arrays | Practice | GeeksforGeeks,https://youtu.be/d9Rpk0j9ofs,Union of 2 Sorted with Duplicates | Explained with Images
Pending,Find missing number in an array,Missing Number - LeetCode,https://youtu.be/Zo1d2EqX45U,Missing Number | Leetcode 268 | Explained
Pending,Maximum Consecutive Ones,Max Consecutive Ones - LeetCode,https://youtu.be/1QLnjtdEl9Y,Maximum Consecutive Ones | Leetcode 485 | Explained with Images
,,,,
,,,,
,3.2 MEDIUM,,,
Pending,2Sum Problem,Two Sum - LeetCode,https://youtu.be/EX2tR_cgCz4,https://codeanddebug.in/blog/two-sum-leetcode-1/
Pending,"Kadane's Algorithm, maximum subarray sum",Maximum Subarray - LeetCode,https://youtu.be/o3luQXt08W8,https://codeanddebug.in/blog/maximum-subarray-kadanes-algorithm/
Pending,Stock Buy and Sell,Best Time to Buy and Sell Stock - LeetCode,https://youtu.be/tGrDqGxWsmc,Best Time to Buy and Sell Stock | Leetcode 121 | Explained with Images
Pending,Rearrange the array in alternating positive and negative items,Rearrange Array Elements by Sign - LeetCode,https://youtu.be/xFm1Tgc-HTI,Rearrange Array Elements by Sign | Leetcode 2149
Pending,Longest Consecutive Sequence in an Array,Longest Consecutive Sequence - LeetCode,https://youtu.be/OO2FsBeFcEs,Longest Consecutive Sequence | Leetcode 128
Pending,Learn 2D Matrix [Check video],Theory [Watch the Video],https://youtu.be/sfVzamPfIrw,
Pending,Set Matrix Zeros,Set Matrix Zeroes - LeetCode,https://youtu.be/_RMrP1NBftA,Set Matrix Zeroes | Leetcode 73 | Explained
Pending,Rotate Matrix by 90 degrees,Rotate Image - LeetCode,https://youtu.be/w9ofZwey57M,Rotate Image | Leetcode 48 | Explained with Images
Pending,Print the matrix in spiral manner,Spiral Matrix - LeetCode,https://youtu.be/FHnZAvZN-Co,Spiral Matrix | Leetcode 54 | Explained in Python
,,,,
,,,,
,3.3 HARD,,,
Pending,3-Sum Problem,3Sum - LeetCode,https://youtu.be/Euky4JTEK0I,3Sum | Leetcode 15 | Explained in Python
Pending,4-Sum Problem,4Sum - LeetCode,https://youtu.be/8DwLOo5AOR8,4Sum | Leetcode 18 | Explained in Python
,,,,
,,,,
,4. Binary Search,,,
,4.1 Binary Search on simple 1D Arrays,,,
Pending,Binary Search to find X in sorted array,Binary Search - LeetCode,https://youtu.be/fM4Yat0dERo,Binary Search | Leetcode 704 | Explained in Python
Pending,Implement Lower Bound,Floor in a Sorted Array | Practice | GeeksforGeeks,https://youtu.be/FfTbMO4o9OI,Implement Lower Bound | Floor in a Sorted Array (GFG)
Pending,Implement Upper Bound,Implement Upper Bound - Naukri Code 360,https://youtu.be/FfTbMO4o9OI,Implement Upper Bound
Pending,Search Insert Position,Search Insert Position - LeetCode,https://youtu.be/MhsEFYyImPs,Search Insert Position | Leetcode 35 | Explained in Python
Pending,Floor/Ceil in Sorted Array,Ceil The Floor - Naukri Code 360,https://youtu.be/W1ombWDEPJg,Ceil The Floor | Binary Search Implementation
Pending,Find the first or last occurrence of a given number in a sorted array,Find First and Last Position of Element in Sorted Array - LeetCode,https://youtu.be/ViotQxoHip4,Find First and Last Position of Element in Sorted Array | Leetcode 34 | Optimal Binary Search
Pending,Count occurrences of a number in a sorted array with duplicates,Number of occurrence | Practice | GeeksforGeeks,https://youtu.be/Hs49-Lws_XM,Count occurrences of a number in a sorted array with duplicates | Optimal Binary Search
Pending,Search in Rotated Sorted Array I,Search in Rotated Sorted Array - LeetCode,https://youtu.be/46kRvrls5xM,Search in Rotated Sorted Array | Leetcode 33 | Optimal Binary Search
Pending,Search in Rotated Sorted Array II,Search in Rotated Sorted Array II - LeetCode,https://youtu.be/oVcBXszcpYs,Search in Rotated Sorted Array II | Leetcode 81 | Optimal Binary Search
Pending,Find minimum in Rotated Sorted Array,Find Minimum in Rotated Sorted Array - LeetCode,https://youtu.be/_B2JakopXLc,Find Minimum in Rotated Sorted Array | Leetcode 153 | Optimal Binary Search
,,,,
,,,,
,,,,
,5. Strings (please do at last) (it might contain other patterns thats why),,,
,5.1 EASY,,,
Pending,Remove outermost Paranthesis,Remove Outermost Parentheses - LeetCode,https://youtu.be/yjso9jkYPbs,Remove Outermost Parentheses | Leetcode 1021 | Stack Depth Counting Solution
Pending,Reverse words in a given string,Reverse Words in a String - LeetCode,https://youtu.be/EBd-u0ehi98,Reverse Words in a String | Leetcode 151 | Split and Reverse Approach
Pending,Largest odd number in a string,Largest Odd Number in String - LeetCode,https://youtu.be/kOiapvrtjo0,Largest Odd Number in String | Leetcode 1903 | Step-by-Step Solution Explained
Pending,Longest Common Prefix,Longest Common Prefix - LeetCode,https://youtu.be/2iY7YYLNLAA,Longest Common Prefix | Leetcode 14 | Optimal Solution Explained
Pending,Isomorphic String,Isomorphic Strings - LeetCode,https://youtu.be/cX9vCdjWyBo,Isomorphic Strings | Leetcode 205 | Optimal Hash Map Solution
Pending,Check whether one string is a rotation of another,Rotate String - LeetCode,https://youtu.be/PrSGLUfmLh0,Rotate String | Leetcode 796 | Optimal Substring Search Solution
Pending,Check if two strings are anagram of each other,Valid Anagram - LeetCode,https://youtu.be/EnrE4tnmYZo,Valid Anagram | Leetcode 242 | Optimal Hash Map Solution
,,,,
,,,,
,5.2 MEDIUM,,,
Pending,Sort Characters by frequency,Sort Characters By Frequency - LeetCode,https://youtu.be/pyOb7lwnA7M,Sort Characters By Frequency | Leetcode 451 | Hash Map + Sorting Solution
Pending,Maximum Nesting Depth of Paranthesis,Maximum Nesting Depth of the Parentheses - LeetCode,https://youtu.be/5XgWK4Dj9UY,Maximum Nesting Depth of the Parentheses | Leetcode 1614 | Depth Counting Solution
Pending,Roman Number to Integer and vice versa,Roman to Integer - LeetCode,https://youtu.be/1a7aYSZtCaY,Roman to Integer | Leetcode 13 | Mapping and Subtraction Rule Solution
,,,,
,,,,
,"6. Linked List (Single LL, Double LL)",,,
,6.1 Learn Singly Linked List,,,
Pending,Introduction to LinkedList,Introduction to Linked List | Practice | GeeksforGeeks,https://youtu.be/-tlWxkCuEM0,Understanding Singly Linked List in Python | Complete Explanation and Implementation Guide
Pending,Inserting a node in LinkedList,Linked List Insertion | Practice | GeeksforGeeks,https://youtu.be/n7w9U7w8jJE,
Pending,Deleting a node in LinkedList,Delete Node in a Linked List - LeetCode,,
Pending,Find the length of the linkedlist,Count nodes of linked list | Practice | GeeksforGeeks,,
Pending,Search an element in the LL,Search in Linked List | Practice | GeeksforGeeks,,
Pending,Design Linked List,Design Linked List - LeetCode,,Design Linked List | Leetcode 707 | Explained in Python
,,,,
,,,,
,6.2 Learn Doubly Linked List,,,
Pending,Introduction to DLL,Introduction to Doubly Linked List | Practice | GeeksforGeeks,https://youtu.be/wiMmDsFHna8,
Pending,Insert a node in DLL,Doubly linked list Insertion at given position | Practice | GeeksforGeeks,https://youtu.be/41q73CppGnc,Understanding Doubly Linked Lists: Complete Guide with Real-Life Examples
Pending,Delete a node in DLL,Delete node in Doubly Linked List | Practice | GeeksforGeeks,,
